level,state,district
fed-lower,WA,10
fed-lower,WI,1
fed-lower,WI,2
fed-lower,WI,3
fed-lower,WI,4
fed-lower,WI,5
fed-lower,WI,6
fed-lower,WI,7
fed-lower,WI,8
fed-lower,WV,1
fed-lower,WV,2
fed-lower,WV,3
fed-lower,WY,1
state-lower,AK,1
state-lower,AK,2
state-lower,AK,3
state-lower,AK,4
state-lower,AK,5
state-lower,AK,6
state-lower,AK,7
state-lower,AK,8
state-lower,AK,9
state-lower,AK,10
state-lower,AK,11
state-lower,AK,12
state-lower,AK,13
state-lower,AK,14
state-lower,AK,15
state-lower,AK,16
state-lower,AK,17
state-lower,AK,18
state-lower,AK,19
state-lower,AK,20
state-lower,AK,21
state-lower,AK,22
state-lower,AK,23
state-lower,AK,24
state-lower,AK,25
state-lower,AK,26
state-lower,AK,27
state-lower,AK,28
state-lower,AK,29
state-lower,AK,30
state-lower,AK,31
state-lower,AK,32
state-lower,AK,33
state-lower,AK,34
state-lower,AK,35
state-lower,AK,36
state-lower,AK,37
state-lower,AK,38
state-lower,AK,39
state-lower,AK,40
state-lower,AL,1
state-lower,AL,2
state-lower,AL,3
state-lower,AL,4
state-lower,AL,5
state-lower,AL,6
state-lower,AL,7
state-lower,AL,8
state-lower,AL,9
state-lower,AL,10
state-lower,AL,11
state-lower,AL,12
state-lower,AL,13
state-lower,AL,14
state-lower,AL,15
state-lower,AL,16
state-lower,AL,17
state-lower,AL,18
state-lower,AL,19
state-lower,AL,20
state-lower,AL,21
state-lower,AL,22
state-lower,AL,23
state-lower,AL,24
state-lower,AL,25
state-lower,AL,26
state-lower,AL,27
state-lower,AL,28
state-lower,AL,29
state-lower,AL,30
state-lower,AL,31
state-lower,AL,32
state-lower,AL,33
state-lower,AL,34
state-lower,AL,35
state-lower,AL,36
state-lower,AL,37
state-lower,AL,38
state-lower,AL,39
state-lower,AL,40
state-lower,AL,41
state-lower,AL,42
state-lower,AL,43
state-lower,AL,44
state-lower,AL,45
state-lower,AL,46
state-lower,AL,47
state-lower,AL,48
state-lower,AL,49
state-lower,AL,50
state-lower,AL,51
state-lower,AL,52
state-lower,AL,53
state-lower,AL,54
state-lower,AL,55
state-lower,AL,56
state-lower,AL,57
state-lower,AL,58
state-lower,AL,59
state-lower,AL,60
state-lower,AL,61
state-lower,AL,62
state-lower,AL,63
state-lower,AL,64
state-lower,AL,65
state-lower,AL,66
state-lower,AL,67
state-lower,AL,68
state-lower,AL,69
state-lower,AL,70
state-lower,AL,71
state-lower,AL,72
state-lower,AL,73
state-lower,AL,74
state-lower,AL,75
state-lower,AL,76
state-lower,AL,77
state-lower,AL,78
state-lower,AL,79
state-lower,AL,80
state-lower,AL,81
state-lower,AL,82
state-lower,AL,83
state-lower,AL,84
state-lower,AL,85
state-lower,AL,86
state-lower,AL,87
state-lower,AL,88
state-lower,AL,89
state-lower,AL,90
state-lower,AL,91
state-lower,AL,92
state-lower,AL,93
state-lower,AL,94
state-lower,AL,95
state-lower,AL,96
state-lower,AL,97
state-lower,AL,98
state-lower,AL,99
state-lower,AL,100
state-lower,AL,101
state-lower,AL,102
state-lower,AL,103
state-lower,AL,104
state-lower,AL,105
state-lower,AR,1
state-lower,AR,2
state-lower,AR,3
state-lower,AR,4
state-lower,AR,5
state-lower,AR,6
state-lower,AR,7
state-lower,AR,8
state-lower,AR,9
state-lower,AR,10
state-lower,AR,11
state-lower,AR,12
state-lower,AR,13
state-lower,AR,14
state-lower,AR,15
state-lower,AR,16
state-lower,AR,17
state-lower,AR,18
state-lower,AR,19
state-lower,AR,20
state-lower,AR,21
state-lower,AR,22
state-lower,AR,23
state-lower,AR,24
state-lower,AR,25
state-lower,AR,26
state-lower,AR,27
state-lower,AR,28
state-lower,AR,29
state-lower,AR,30
state-lower,AR,31
state-lower,AR,32
state-lower,AR,33
state-lower,AR,34
state-lower,AR,35
state-lower,AR,36
state-lower,AR,37
state-lower,AR,38
state-lower,AR,39
state-lower,AR,40
state-lower,AR,41
state-lower,AR,42
state-lower,AR,43
state-lower,AR,44
state-lower,AR,45
state-lower,AR,46
state-lower,AR,47
state-lower,AR,48
state-lower,AR,49
state-lower,AR,50
state-lower,AR,51
state-lower,AR,52
state-lower,AR,53
state-lower,AR,54
state-lower,AR,55
state-lower,AR,56
state-lower,AR,57
state-lower,AR,58
state-lower,AR,59
state-lower,AR,60
state-lower,AR,61
state-lower,AR,62
state-lower,AR,63
state-lower,AR,64
state-lower,AR,65
state-lower,AR,66
state-lower,AR,67
state-lower,AR,68
state-lower,AR,69
state-lower,AR,70
state-lower,AR,71
state-lower,AR,72
state-lower,AR,73
state-lower,AR,74
state-lower,AR,75
state-lower,AR,76
state-lower,AR,77
state-lower,AR,78
state-lower,AR,79
state-lower,AR,80
state-lower,AR,81
state-lower,AR,82
state-lower,AR,83
state-lower,AR,84
state-lower,AR,85
state-lower,AR,86
state-lower,AR,87
state-lower,AR,88
state-lower,AR,89
state-lower,AR,90
state-lower,AR,91
state-lower,AR,92
state-lower,AR,93
state-lower,AR,94
state-lower,AR,95
state-lower,AR,96
state-lower,AR,97
state-lower,AR,98
state-lower,AR,99
state-lower,AR,100
state-lower,AZ,1
state-lower,AZ,2
state-lower,AZ,3
state-lower,AZ,4
state-lower,AZ,5
state-lower,AZ,6
state-lower,AZ,7
state-lower,AZ,8
state-lower,AZ,9
state-lower,AZ,10
state-lower,AZ,11
state-lower,AZ,12
state-lower,AZ,13
state-lower,AZ,14
state-lower,AZ,15
state-lower,AZ,16
state-lower,AZ,17
state-lower,AZ,18
state-lower,AZ,19
state-lower,AZ,20
state-lower,AZ,21
state-lower,AZ,22
state-lower,AZ,23
state-lower,AZ,24
state-lower,AZ,25
state-lower,AZ,26
state-lower,AZ,27
state-lower,AZ,28
state-lower,AZ,29
state-lower,AZ,30
state-lower,CA,1
state-lower,CA,2
state-lower,CA,3
state-lower,CA,4
state-lower,CA,5
state-lower,CA,6
state-lower,CA,7
state-lower,CA,8
state-lower,CA,9
state-lower,CA,10
state-lower,CA,11
state-lower,CA,12
state-lower,CA,13
state-lower,CA,14
state-lower,CA,15
state-lower,CA,16
state-lower,CA,17
state-lower,CA,18
state-lower,CA,19
state-lower,CA,20
state-lower,CA,21
state-lower,CA,22
state-lower,CA,23
state-lower,CA,24
state-lower,CA,25
state-lower,CA,26
state-lower,CA,27
state-lower,CA,28
state-lower,CA,29
state-lower,CA,30
state-lower,CA,31
state-lower,CA,32
state-lower,CA,33
state-lower,CA,34
state-lower,CA,35
state-lower,CA,36
state-lower,CA,37
state-lower,CA,38
state-lower,CA,39
state-lower,CA,40
state-lower,CA,41
state-lower,CA,42
state-lower,CA,43
state-lower,CA,44
state-lower,CA,45
state-lower,CA,46
state-lower,CA,47
state-lower,CA,48
state-lower,CA,49
state-lower,CA,50
state-lower,CA,51
state-lower,CA,52
